IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE,DOWNLOAD_INDICATOR,UPLOAD_INDICATOR,PROVIDER
181.140.97.128,7/30/2021 9:05,GMT,38.05,2.67,157,Madrid,5000,multi,1,parcialmente nublado,23,8,wifi,0.634166667,0.534,Tigo
181.140.97.128,7/30/2021 9:02,GMT,60.53,7.92,21,Bogotá,150,multi,1,parcialmente nublado,23,8,wifi,1.008833333,1.584,Tigo
181.140.97.128,7/30/2021 9:00,GMT,58.04,5.25,28,Medellin,0,multi,1,parcialmente nublado,23,8,wifi,0.967333333,1.05,Tigo
181.140.97.128,7/29/2021 19:06,GMT,30.53,2.68,155,Madrid,5000,multi,1,lluvia,20,9,wifi,0.508833333,0.536,Tigo
181.140.97.128,7/29/2021 19:04,GMT,62.56,7.62,21,Bogotá,150,multi,1,lluvia,20,9,wifi,1.042666667,1.524,Tigo
181.140.97.128,7/29/2021 19:01,GMT,62.08,7.75,25,Medellin,0,multi,1,lluvia,20,9,wifi,1.034666667,1.55,Tigo
181.140.97.128,7/29/2021 14:07,GMT,36.41,2.79,161,Madrid,5000,multi,1,parcialmente nublado,26,8,wifi,0.606833333,0.558,Tigo
181.140.97.128,7/29/2021 14:04,GMT,62.29,7.82,23,Bogotá,150,multi,1,parcialmente nublado,26,8,wifi,1.038166667,1.564,Tigo
181.140.97.128,7/29/2021 14:01,GMT,61.97,8.34,12,Medellín,0,multi,4,parcialmente nublado,26,8,wifi,1.032833333,1.668,Tigo
181.140.97.128,7/29/2021 9:07,GMT,34.68,2.69,159,Madrid,5000,multi,1,parcialmente nublado,24,8,wifi,0.578,0.538,Tigo
181.140.97.128,7/29/2021 9:04,GMT,62.99,7.91,23,Bogotá,150,multi,1,parcialmente nublado,24,8,wifi,1.049833333,1.582,Tigo
181.140.97.128,7/29/2021 9:00,GMT,63.03,7.65,27,Medellin,0,multi,1,parcialmente nublado,24,8,wifi,1.0505,1.53,Tigo
181.140.97.128,7/28/2021 19:07,GMT,40.94,1.75,163,Madrid,5000,multi,1,muy nublado,22,9,wifi,0.682333333,0.35,Tigo
181.140.97.128,7/28/2021 19:03,GMT,55.56,7.57,20,Bogotá,150,multi,1,muy nublado,22,9,wifi,0.926,1.514,Tigo
181.140.97.128,7/28/2021 19:00,GMT,51.05,7.01,28,Medellin,0,multi,1,muy nublado,22,9,wifi,0.850833333,1.402,Tigo
181.140.97.128,7/28/2021 14:07,GMT,18.07,2.53,158,Madrid,5000,multi,1,parcialmente nublado,27,8,wifi,0.301166667,0.506,Tigo
181.140.97.128,7/28/2021 14:04,GMT,35.91,7.84,23,Bogotá,150,multi,1,parcialmente nublado,27,8,wifi,0.5985,1.568,Tigo
181.140.97.128,7/28/2021 14:00,GMT,37.71,7.66,30,Medellin,0,multi,1,parcialmente nublado,27,8,wifi,0.6285,1.532,Tigo
181.140.97.128,7/28/2021 9:09,GMT,18.78,2.67,162,Madrid,5000,multi,1,muy nublado,23,8,wifi,0.313,0.534,Tigo
181.140.97.128,7/28/2021 9:04,GMT,41.97,7.05,26,Bogotá,150,multi,1,muy nublado,23,8,wifi,0.6995,1.41,Tigo
181.140.97.128,7/28/2021 9:00,GMT,30.51,5.84,31,Medellin,0,multi,1,muy nublado,23,8,wifi,0.5085,1.168,Tigo
181.140.97.128,7/27/2021 19:08,GMT,53.9,2.83,157,Madrid,5000,multi,1,nublado,21,9,wifi,0.898333333,0.566,Tigo
181.140.97.128,7/27/2021 19:05,GMT,62.51,8.11,23,Bogotá,150,multi,1,nublado,21,9,wifi,1.041833333,1.622,Tigo
181.140.97.128,7/27/2021 19:00,GMT,61.75,8.09,12,Medellín,0,multi,4,nublado,21,9,wifi,1.029166667,1.618,Tigo
181.140.97.128,7/27/2021 14:07,GMT,62.14,9.97,11,Medellín,0,multi,4,nublado,25,8,wifi,1.035666667,1.994,Tigo
181.140.97.128,7/27/2021 14:04,GMT,46.63,2.8,156,Madrid,5000,multi,1,nublado,25,8,wifi,0.777166667,0.56,Tigo
181.140.97.128,7/27/2021 14:00,GMT,61.94,8.3,21,Bogotá,150,multi,1,nublado,25,8,wifi,1.032333333,1.66,Tigo
191.88.72.92,8/3/2021 19:05,GMT,27.06,8.26,19,Bogotá,150,multi,1,nublado,22,3,cable,0.902,1.652,Tigo
191.88.72.92,8/3/2021 19:04,GMT,29.04,8.24,13,Medellín,0,multi,1,nublado,22,3,cable,0.968,1.648,Tigo
191.88.72.92,8/3/2021 19:04,GMT,30.12,8.28,170,Madrid,5000,multi,1,nublado,22,3,cable,1.004,1.656,Tigo
191.88.72.92,8/3/2021 19:03,GMT,9.73,7.83,182,Madrid,5000,multi,1,nublado,22,3,wifi,0.324333333,1.566,Tigo
191.88.72.92,8/3/2021 19:02,GMT,11.04,6.73,17,Medellín,0,multi,1,nublado,22,3,wifi,0.368,1.346,Tigo
191.88.72.92,8/3/2021 19:01,GMT,29.07,3.15,30,Bogotá,150,multi,1,nublado,22,3,wifi,0.969,0.63,Tigo
191.88.72.92,8/3/2021 14:00,GMT,29.16,8.21,9,Medellín,0,multi,4,tormentas eléctricas aisladas,25,2,wifi,0.972,1.642,Tigo
191.88.72.92,8/3/2021 13:53,GMT,23.11,7.22,20,Bogotá,150,multi,1,tormentas eléctricas aisladas,25,2,wifi,0.770333333,1.444,Tigo
191.88.72.92,8/3/2021 13:52,GMT,30.5,8.3,168,Madrid,5000,multi,1,tormentas eléctricas aisladas,25,2,cable,1.016666667,1.66,Tigo
191.88.72.92,8/3/2021 13:52,GMT,31.09,8.05,7,Medellín,0,multi,1,tormentas eléctricas aisladas,25,2,cable,1.036333333,1.61,Tigo
191.88.72.92,8/3/2021 13:51,GMT,30.73,8.23,16,Bogotá,150,multi,1,tormentas eléctricas aisladas,25,2,cable,1.024333333,1.646,Tigo
191.88.72.92,8/3/2021 9:14,GMT,20.59,8.19,10,Medellín,0,multi,1,muy nublado,23,5,cable,0.686333333,1.638,Tigo
191.88.72.92,8/3/2021 9:14,GMT,30.29,8.26,18,Bogotá,150,multi,1,muy nublado,23,5,cable,1.009666667,1.652,Tigo
191.88.72.92,8/3/2021 9:13,GMT,30.9,8.09,176,Madrid,5000,multi,1,muy nublado,23,5,cable,1.03,1.618,Tigo
191.88.72.92,8/3/2021 9:11,GMT,16.59,7.96,172,Madrid,5000,multi,1,muy nublado,23,5,wifi,0.553,1.592,Tigo
191.88.72.92,8/3/2021 9:06,GMT,7.22,2.28,10,Medellín,0,multi,1,muy nublado,23,5,wifi,0.240666667,0.456,Tigo
191.88.72.92,8/3/2021 9:04,GMT,3.09,0.37,23,Bogotá,150,multi,1,muy nublado,23,5,wifi,0.103,0.074,Tigo
191.88.72.92,8/2/2021 14:08,GMT,11.17,7.12,176,Madrid,5000,multi,1,muy nublado,29,5,wifi,0.372333333,1.424,Tigo
191.88.72.92,8/2/2021 14:06,GMT,29.48,4.65,10,Medellín,0,multi,1,muy nublado,29,5,wifi,0.982666667,0.93,Tigo
191.88.72.92,8/2/2021 14:05,GMT,25.39,7.1,23,Bogotá,150,multi,1,muy nublado,29,5,wifi,0.846333333,1.42,Tigo
191.88.72.92,8/2/2021 14:02,GMT,30.21,8.23,174,Madrid,5000,multi,1,muy nublado,29,5,cable,1.007,1.646,Tigo
191.88.72.92,8/2/2021 14:01,GMT,31.23,8.31,9,Medellín,0,multi,1,muy nublado,29,5,cable,1.041,1.662,Tigo
191.88.72.92,8/2/2021 14:01,GMT,29.74,8.27,20,Bogotá,150,multi,1,muy nublado,29,5,cable,0.991333333,1.654,Tigo
191.88.72.92,8/2/2021 9:07,GMT,31.28,8.35,21,Bogotá,150,multi,1,parcialmente nublado,23,6,cable,1.042666667,1.67,Tigo
